member_id,name,name_alt,roman_name,gender,dob,age,district,district_en,committees,committees_en,terms,party,party_en,party_group,party_group_en,loyalty,loyalty_rank,attendance,attendance_rank,absenteeism,absenteeism_rank,dp_vote_freq,dp_alignment,jeong_alignment,gugmin_alignment
9770372,안민석,安敏錫,An Minsuk,M,1966-08-13,55.87397260273973,경기 오산시,Gyeonggi | Osan,['외교통일위원회'],['Foreign Affairs and Unification Committee'],5,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9972878569130282,64.0,0.9458977407847801,41,0.05410225921521994,265,0.9949717159019484,0.9972878569130282,0.9276868062300833,0.9428833187407444
9771146,홍석준,洪碩晙,Hong Sukjoon,M,1966-05-17,56.11506849315069,대구 달서구갑,Daegu | Dalseo A,['환경노동위원회'],['Environment and Labor Committee'],1,국민의힘,People Power Party,국민의힘,People Power Party,0.884182274227223,271.0,0.8097502972651606,153,0.19024970273483943,155,0.7569750367107195,0.793524780364027,0.7552285699064909,0.884182274227223
9771218,서동용,徐東榕,Seo Dongyong,M,1964-09-02,57.81917808219178,전남 순천시광양시곡성군구례군을,S. Jeolla | Suncheon-Gwangyang-Gokseong-Gurye B,['교육위원회'],['Education Committee'],1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9907169129547702,154.0,0.9910820451843044,6,0.008917954815695572,301,0.9796040791841631,0.9907169129547702,0.9246724594090453,0.9141657012385557
9771165,권명호,權明浩,Kwon Myungho,M,1961-01-10,61.463013698630135,울산 동구,Ulsan | Dong,"['산업통상자원중소벤처기업위원회', '예산결산특별위원회']","['Trade, Industry, Energy, SMEs, and Startups Committee', 'Special Committee on Budget and Accounts']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.890334192652327,270.0,0.7913198573127229,165,0.20868014268727708,142,0.777610818933133,0.8082343397409464,0.7584803423070695,0.890334192652327
9771244,조태용,趙太庸,Cho Taeyong,M,1956-08-29,65.83013698630137,비례대표,Proportional seat,"['외교통일위원회', '정보위원회']","['Foreign Affairs and Unification Committee', 'Intelligence Committee']",1,국민의힘,People Power Party,국민의힘,People Power Party,0.9492623068016048,227.0,0.8252080856123662,142,0.17479191438763375,166,0.9070605187319885,0.8943760943697956,0.8596893099384284,0.9492623068016048
9770986,김철민,金哲玟,Kim Cheolmin,M,1957-02-15,65.36438356164383,경기 안산시상록구을,Gyeonggi | Ansan Sangnok B,['교육위원회'],['Education Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9888621135235798,164.0,0.9892984542211652,9,0.010701545778834753,298,0.9789663461538461,0.9888621135235798,0.9162404579401168,0.913724053500608
9770837,이헌승,李憲昇,Lee Hunseung,M,1963-05-11,59.131506849315066,부산 부산진구을,Busan | Busanjin B,['국토교통위원회'],"['Land, Infrastructure and Transport Committee']",3,국민의힘,People Power Party,국민의힘,People Power Party,0.9472019479067698,231.0,0.9185493460166468,68,0.08145065398335316,240,0.8731391585760517,0.8836614614167203,0.8436194241633379,0.9472019479067698
9770981,김영진,金榮鎭,Kim Youngjin,M,1967-09-10,54.797260273972604,경기 수원시병,Gyeonggi | Suwon C,['기획재정위원회'],['Strategy and Finance Committee'],2,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9987455913828696,19.0,0.9149821640903686,72,0.08501783590963141,236,0.9987004548408057,0.9987455913828696,0.923963764358834,0.929947265726718
9771147,김용판,金用判,Kim Yongpan,M,1958-01-05,64.47671232876712,대구 달서구병,Daegu | Dalseo C,['행정안전위원회'],['Public Administration and Security Committee'],1,국민의힘,People Power Party,국민의힘,People Power Party,0.9121931190589397,263.0,0.6967895362663495,206,0.30321046373365046,102,0.810580204778157,0.8359102990183959,0.7973307839320017,0.9121931190589397
9771176,서영석,徐暎錫,Seo Youngseok,M,1964-09-16,57.78082191780822,경기 부천시정,Gyeonggi | Bucheon D,['보건복지위원회'],['Health and Welfare Committee'],1,더불어민주당,Democratic Party of Korea,더불어민주당,Democratic Party of Korea,0.9983625479542263,32.0,0.9887039239001189,11,0.011296076099881147,297,0.9975947083583885,0.9983625479542263,0.9222774087475617,0.9259702759888989
